MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.diablotools.com/products/DCB518ASTS06G,,,,,,20000001,Hardware & Tools,Abrasives & Sanding,Sanding Belts,1500001,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,,DCB518ASTS06G,,Abrasives & Polishing > Sanding Belts & Sheets > Sanding Belts,"Freud America, Diablo, Sanding Belt, Diablo Series, DCB518ASTS06G, 1/2 inx18 in",SND BLT 1/2X18 6PK,"Diablo® Diablo Series DCB518ASTS06G Sanding Belt 1/2 inx18 in, 6-Pack","Diablo® Sanding Belt, Diablo Series, Premium Ceramic Blend, 1/2 inx18 in, Package of 6","Diablo® Diablo Series DCB518ASTS06G Sanding Belt 1/2 inx18 in, 6-Pack","Engineered for heavy-duty industrial and commercial applications, the Diablo® DCB518ASTS06G delivers superior durability, precision performance, and maximum uptime.",Dimensions: 1/2 inx18 in,Package Quantity: 6,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Diablo Series,,Model,DCB518ASTS06G,,Size,1/2 inx18 in,,Width,1/2,in,Length,18,in,Package Quantity,6,pk,Material,Premium Ceramic Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191501,,,1,EA,,,,,,,,,,,,DIABLO_DCB518ASTS06G.jpg,DIABLO_DCB518ASTS06G_1.jpg,DIABLO_DCB518ASTS06G_2.jpg,,,,,,,DIABLO_DCB518ASTS06G_Specification_Sheet.pdf,DIABLO_DCB518ASTS06G_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100075678,,,,,,20000002,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500002,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,,3MABR-7100075678,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"3M, 3M, Sanding Disc, Cubitron™ II, 3MABR-7100075678, P150, Abrasives & Sanding",SND DISC P150 50PK,"3M™ Cubitron™ II 3MABR-7100075678 Sanding Disc P150 Grit, 50-Pack","3M™ Sanding Disc, Cubitron™ II, P150 Grit, Precision-Shaped Ceramic Grain, Package of 50","3M™ Cubitron™ II 3MABR-7100075678 Sanding Disc P150 Grit, 50-Pack","Engineered for heavy-duty industrial and commercial applications, the 3M™ 3MABR-7100075678 delivers superior durability, precision performance, and maximum uptime.",P150 Grit Rating for optimal surface preparation,Package Quantity: 50,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Cubitron™ II,,Model,3MABR-7100075678,,Grit,P150,,Package Quantity,50,pk,Material,Precision-Shaped Ceramic Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,3M_3MABR-7100075678.jpg,3M_3MABR-7100075678_1.jpg,3M_3MABR-7100075678_2.jpg,,,,,,,3M_3MABR-7100075678_Specification_Sheet.pdf,3M_3MABR-7100075678_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100045865,,,,,,20000003,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500003,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,,3MABR-7100045865,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"3M, 3M, Sanding Disc, Cubitron™ II, 3MABR-7100045865, P120, Abrasives & Sanding",SND DISC P120 50PK,"3M™ Cubitron™ II 3MABR-7100045865 Sanding Disc P120 Grit, 50-Pack","3M™ Sanding Disc, Cubitron™ II, P120 Grit, Precision-Shaped Ceramic Grain, Package of 50","3M™ Cubitron™ II 3MABR-7100045865 Sanding Disc P120 Grit, 50-Pack","Engineered for heavy-duty industrial and commercial applications, the 3M™ 3MABR-7100045865 delivers superior durability, precision performance, and maximum uptime.",P120 Grit Rating for optimal surface preparation,Package Quantity: 50,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Cubitron™ II,,Model,3MABR-7100045865,,Grit,P120,,Package Quantity,50,pk,Material,Precision-Shaped Ceramic Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,3M_3MABR-7100045865.jpg,3M_3MABR-7100045865_1.jpg,3M_3MABR-7100045865_2.jpg,,,,,,,3M_3MABR-7100045865_Specification_Sheet.pdf,3M_3MABR-7100045865_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100048736,,,,,,20000004,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500004,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,,3MABR-7100048736,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"3M, 3M, Sanding Disc, Cubitron™ II, 3MABR-7100048736, P80, Abrasives & Sanding",SND DISC P80 50PK,"3M™ Cubitron™ II 3MABR-7100048736 Sanding Disc P80 Grit, 50-Pack","3M™ Sanding Disc, Cubitron™ II, P80 Grit, Precision-Shaped Ceramic Grain, Package of 50","3M™ Cubitron™ II 3MABR-7100048736 Sanding Disc P80 Grit, 50-Pack","Engineered for heavy-duty industrial and commercial applications, the 3M™ 3MABR-7100048736 delivers superior durability, precision performance, and maximum uptime.",P80 Grit Rating for optimal surface preparation,Package Quantity: 50,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Cubitron™ II,,Model,3MABR-7100048736,,Grit,P80,,Package Quantity,50,pk,Material,Precision-Shaped Ceramic Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,3M_3MABR-7100048736.jpg,3M_3MABR-7100048736_1.jpg,3M_3MABR-7100048736_2.jpg,,,,,,,3M_3MABR-7100048736_Specification_Sheet.pdf,3M_3MABR-7100048736_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100075690,,,,,,20000005,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500005,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,,3MABR-7100075690,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"3M, 3M, Sanding Disc, Cubitron™ II, 3MABR-7100075690, P180, Abrasives & Sanding",SND DISC P180 50PK,"3M™ Cubitron™ II 3MABR-7100075690 Sanding Disc P180 Grit, 50-Pack","3M™ Sanding Disc, Cubitron™ II, P180 Grit, Precision-Shaped Ceramic Grain, Package of 50","3M™ Cubitron™ II 3MABR-7100075690 Sanding Disc P180 Grit, 50-Pack","Engineered for heavy-duty industrial and commercial applications, the 3M™ 3MABR-7100075690 delivers superior durability, precision performance, and maximum uptime.",P180 Grit Rating for optimal surface preparation,Package Quantity: 50,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Cubitron™ II,,Model,3MABR-7100075690,,Grit,P180,,Package Quantity,50,pk,Material,Precision-Shaped Ceramic Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,3M_3MABR-7100075690.jpg,3M_3MABR-7100075690_1.jpg,3M_3MABR-7100075690_2.jpg,,,,,,,3M_3MABR-7100075690_Specification_Sheet.pdf,3M_3MABR-7100075690_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100075692,,,,,,20000006,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500006,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,,3MABR-7100075692,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"3M, 3M, Sanding Disc, Cubitron™ II, 3MABR-7100075692, P220, Abrasives & Sanding",SND DISC P220 50PK,"3M™ Cubitron™ II 3MABR-7100075692 Sanding Disc P220 Grit, 50-Pack","3M™ Sanding Disc, Cubitron™ II, P220 Grit, Precision-Shaped Ceramic Grain, Package of 50","3M™ Cubitron™ II 3MABR-7100075692 Sanding Disc P220 Grit, 50-Pack","Engineered for heavy-duty industrial and commercial applications, the 3M™ 3MABR-7100075692 delivers superior durability, precision performance, and maximum uptime.",P220 Grit Rating for optimal surface preparation,Package Quantity: 50,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Cubitron™ II,,Model,3MABR-7100075692,,Grit,P220,,Package Quantity,50,pk,Material,Precision-Shaped Ceramic Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,3M_3MABR-7100075692.jpg,3M_3MABR-7100075692_1.jpg,3M_3MABR-7100075692_2.jpg,,,,,,,3M_3MABR-7100075692_Specification_Sheet.pdf,3M_3MABR-7100075692_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100145365,,,,,,20000007,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500007,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,,3MABR-7100145365,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"3M, 3M, Sanding Disc, Cubitron™ II, 3MABR-7100145365, P320, Abrasives & Sanding",SND DISC P320 50PK,"3M™ Cubitron™ II 3MABR-7100145365 Sanding Disc P320 Grit, 50-Pack","3M™ Sanding Disc, Cubitron™ II, P320 Grit, Precision-Shaped Ceramic Grain, Package of 50","3M™ Cubitron™ II 3MABR-7100145365 Sanding Disc P320 Grit, 50-Pack","Engineered for heavy-duty industrial and commercial applications, the 3M™ 3MABR-7100145365 delivers superior durability, precision performance, and maximum uptime.",P320 Grit Rating for optimal surface preparation,Package Quantity: 50,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Cubitron™ II,,Model,3MABR-7100145365,,Grit,P320,,Package Quantity,50,pk,Material,Precision-Shaped Ceramic Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,3M_3MABR-7100145365.jpg,3M_3MABR-7100145365_1.jpg,3M_3MABR-7100145365_2.jpg,,,,,,,3M_3MABR-7100145365_Specification_Sheet.pdf,3M_3MABR-7100145365_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.mirka.com/en-us/5B-332-080,,,,,,20000008,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500008,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,,5B-332-080,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"Mirka USA Inc., Mirka, Sanding Disc, HIOLIT Series, 5B-332-080, P80",SND DISC P80 5IN,"Mirka® HIOLIT Series 5B-332-080 Sanding Disc P80 Grit, 5 in Dia","Mirka® Sanding Disc, HIOLIT Series, P80 Grit, Aluminum Oxide","Mirka® HIOLIT Series 5B-332-080 Sanding Disc P80 Grit, 5 in Dia","Engineered for heavy-duty industrial and commercial applications, the Mirka® 5B-332-080 delivers superior durability, precision performance, and maximum uptime.",P80 Grit Rating for optimal surface preparation,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,HIOLIT Series,,Model,5B-332-080,,Grit,P80,,Diameter,5,in,Material,Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,MIRKA_5B-332-080.jpg,MIRKA_5B-332-080_1.jpg,MIRKA_5B-332-080_2.jpg,,,,,,,MIRKA_5B-332-080_Specification_Sheet.pdf,MIRKA_5B-332-080_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.mirka.com/en-us/5B-332-120,,,,,,20000009,Hardware & Tools,Abrasives & Sanding,Sanding Discs,1500009,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,,5B-332-120,,Abrasives & Polishing > Sanding Discs & Pads > Sanding Discs,"Mirka USA Inc., Mirka, Sanding Disc, HIOLIT Series, 5B-332-120, P120",SND DISC P120 5IN,"Mirka® HIOLIT Series 5B-332-120 Sanding Disc P120 Grit, 5 in Dia","Mirka® Sanding Disc, HIOLIT Series, P120 Grit, Aluminum Oxide","Mirka® HIOLIT Series 5B-332-120 Sanding Disc P120 Grit, 5 in Dia","Engineered for heavy-duty industrial and commercial applications, the Mirka® 5B-332-120 delivers superior durability, precision performance, and maximum uptime.",P120 Grit Rating for optimal surface preparation,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,HIOLIT Series,,Model,5B-332-120,,Grit,P120,,Diameter,5,in,Material,Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,1,EA,,,,,,,,,,,,MIRKA_5B-332-120.jpg,MIRKA_5B-332-120_1.jpg,MIRKA_5B-332-120_2.jpg,,,,,,,MIRKA_5B-332-120_Specification_Sheet.pdf,MIRKA_5B-332-120_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
https://www.mirka.com/en-us/9A-570-240,,,,,,20000010,Hardware & Tools,Abrasives & Sanding,Sanding Belts,1500010,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,,9A-570-240,,Abrasives & Polishing > Sanding Belts & Sheets > Sanding Belts,"Mirka USA Inc., Mirka, Sanding Belt, Abranet Series, 9A-570-240, 2.75x30",SND BLT 2.75X30 9A,Mirka® Abranet Series 9A-570-240 Sanding Belt 2.75x30,"Mirka® Sanding Belt, Abranet Series, Mesh Aluminum Oxide, 2.75x30, 9 A",Mirka® Abranet Series 9A-570-240 Sanding Belt 2.75x30,"Engineered for heavy-duty industrial and commercial applications, the Mirka® 9A-570-240 delivers superior durability, precision performance, and maximum uptime.",Dimensions: 2.75x30,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Abranet Series,,Model,9A-570-240,,Size,2.75x30,,Width,2.75,in,Length,30,in,Material,Mesh Aluminum Oxide,,Amperage Rating,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191501,,,1,EA,,,,,,,,,,,,MIRKA_9A-570-240.jpg,MIRKA_9A-570-240_1.jpg,MIRKA_9A-570-240_2.jpg,,,,,,,MIRKA_9A-570-240_Specification_Sheet.pdf,MIRKA_9A-570-240_Installation_Manual.pdf,,,,,,,,,,,,,,,,,Yes
